err_type,pwg_err,correct,mw_recorded,mw_has_correct,mw_has_error,status
typo,aDIvAsam,aDIvAsas,aDIvAsas,True,False,mw_correct
typo,anarDya,anarGya,anarGya,True,False,mw_correct
typo,anyaTAkArAm,anyaTAkAram,anyaTAkAram,True,False,mw_correct
typo,ballAvatva,ballavatva,ballavatva,True,False,mw_correct
typo,yaTopapAtti,yaTopapatti,yaTopapatti,True,False,mw_correct
typo,SlADin,SlAGin,SlAGin,True,False,mw_correct
typo,dErDya,dErGya,dErGya,True,False,mw_correct
typo,dIrDa,dIrGa,dIrGa,True,False,mw_correct
typo,kalASlADya,kalASlAGya,kalASlAGya,True,False,mw_correct
typo,mahAsAMDika,mahAsAMGika,mahAsAMGika,True,False,mw_correct
typo,sAmarDya,sAmarGya,sAmarGya,True,False,mw_correct
typo,sUryArDya,sUryArGya,sUryArGya,True,False,mw_correct
typo,saktuDawAKyAyikA,saktuGawAKyAyikA,saktuGawAKyAyikA,True,False,mw_correct
typo,sapatnaDnI,sapatnaGnI,sapatnaGnI,True,False,mw_correct
typo,vanODa,vanOGa,vanOGa,True,False,mw_correct
scan,AmaganGika,AmaganDika,AmaganDika,True,False,mw_correct
scan,GUmraka,DUmraka,DUmraka,True,False,mw_correct
scan,GanurguRa,DanurguRa,DanurguRa,True,False,mw_correct
scan,GarmabARijika,DarmabARijika,DarmabARijika,True,False,mw_correct
scan,yoGa,yoDa,yoDa,True,False,mw_correct
typo,sahopaGa,sahopaDa,sahopaDa,True,False,mw_correct
typo,vittAqya,vittAQya,vittAQya,True,False,mw_correct
typo,vyAGa,vyADa,vyADa,True,False,mw_correct
typo,zawpadABiGarma,zawpadABiDarma,zawpadABiDarma,True,False,mw_correct
typo,BazaRA,BazaRa,BazaRa,True,False,mw_correct
scan,mahAyogeScara,mahAyogeSvara,mahAyogeSvara,True,False,mw_correct
typo,jIrASca,jIrASva,jIrASva,True,False,mw_correct
typo,jagupsu,jugupsu,jugupsu,True,False,mw_correct
typo,viSila,viSIla,viSIla,True,False,mw_correct
scan,suraDanum,suraDanus,suraDanus,True,False,mw_correct
typo,GawamfYjaya,GawasfYjaya,GawasfYjaya,True,False,mw_correct
typo,SlADya,SlAGya,SlAGya,True,False,mw_correct
typo,SlADyatA,SlAGyatA,SlAGyatA,True,False,mw_correct
typo,dvimahasra,dvisahasra,dvisahasra,True,False,mw_correct
typo,pfTuvyaMma,pfTuvyaMsa,pfTuvyaMsa,True,False,mw_correct
typo,sahasraSirama,sahasraSirasa,sahasraSirasa,True,False,mw_correct
typo,sahasramani,sahasrasani,sahasrasani,True,False,mw_correct
typo,vaneroj,vanerAj,vanerAj,True,False,mw_correct
scan,vipamaSIla,vizamaSIla,vizamaSIla,True,False,mw_correct
typo,upaqOkana,upaQOkana,upaQOkana,True,False,mw_correct
typo,brahmasaWa,brahmamaWa,brahmamaWa,True,False,mw_correct
typo,iwvara,iwcara,iwcara,True,False,mw_correct
typo,vikuRwala,vikuRqala,vikuRqala,True,False,mw_correct
typo,kzepRa,kzepRA,kzepRA,True,False,mw_correct
typo,taptamudra,taptamudrA,taptamudrA,True,False,mw_correct
scan,tazA,tfzA,tfzA,True,False,mw_correct
scan,mawasPawi,mawusPawi,mawusPawi,True,False,mw_correct
scan,paroniHsaraRa,puroniHsaraRa,puroniHsaraRa,True,False,mw_correct
typo,Gaza,Guza,Guza,True,False,mw_correct
typo,vizaRa,vizaRRa,vizaRRa,True,False,mw_correct
typo,lehitapAdaka,lohitapAdaka,lohitapAdaka,True,False,mw_correct
typo,kAkudga,kAkudra,kAkudra,True,False,mw_correct
typo,mAjija,mAjIja,mAjIja,True,False,mw_correct
typo,varRaBodinI,varRaBedinI,varRaBedinI,True,False,mw_correct
scan,galitapadIpa,galitapradIpa,galitapradIpa,True,False,mw_correct
scan,nayanOpaDa,nayanOzaDa,nayanOzaDa,True,False,mw_correct
scan,nizpah,nizzah,nizzah,True,False,mw_correct
typo,dIrGaropa,dIrGaroza,dIrGaroza,True,False,mw_correct
typo,mUpikavizARa,mUzikavizARa,mUzikavizARa,True,False,mw_correct
typo,niHpaNga,niHzaNga,niHzaNga,True,False,mw_correct
typo,bfhadruha,bfhadguha,bfhadguha,True,False,mw_correct
typo,gadradatA,gadgadatA,gadgadatA,True,False,mw_correct
typo,yazwimOdralya,yazwimOdgalya,yazwimOdgalya,True,False,mw_correct
typo,bAhUvAhavi,bAhUbAhavi,bAhUbAhavi,True,False,mw_correct
scan,bibuDetara,vibuDetara,vibuDetara,True,False,mw_correct
typo,bapya,bappa,bappa,True,False,mw_correct
typo,mahAzArevata,mahApArevata,mahApArevata,True,False,mw_correct
typo,mandavisarzin,mandavisarpin,mandavisarpin,True,False,mw_correct
?,tattaBujaMgastotra,dattaBujaMgastotra,,True,False,mw_correct
?,taDya,taTya,,True,False,mw_correct
?,tAdedarTa,tadidarTa,,True,False,mw_correct
?,tAzwAGa,tArzwAGa,,True,False,mw_correct
