headword,pet_dict,pet_old,pet_new,mw_old,mw_new,in_pwgissues
2.,pw,"werden (um ein Mädchen , Acc.)","werben (um ein Mädchen , Acc.)",Pot. partyām,Pot. partyām,False
ABoga,pw,"<div n=""1"">— 3〉 {%Umfänglichkeit, Ausgedehntheit%} <ls>MBH. 3,178,25. 15,38,21. 16,4,14</l…","<div n=""1"">— 3〉 {%Umfänglichkeit, Ausgedehntheit%} <ls>MBH. 3,178,25.</ls> <ls n=""MBH."">15…",¦ the expanded hood of the <bio>Cobra Capella </bio> (used by <s1>Varuṇa</s1> as his umbre…,¦ the expanded hood of the <bio>Cobra Capella</bio> (used by <s1>Varuṇa</s1> as his umbrel…,False
Adya,pw,¯BIG4AG.,¯BI7G4AG.,"Adya, m.","AdyA, f.",False
Akara,pw,¯SPR.845.,¯Spr.845.,one who scatters i.e. distributes,"one who scatters, i.e. distributes",False
Akenipa,pw,"<div n=""1"">— 2〉 *= {#goDAvin#}.","<div n=""1"">— 2〉 *= {#meDAvin#}.",<s>Ake—nipa/</s> ¦ <lex>mfn.</lex> (said of the horses of the <s1>Aśvin</s1>s) protecting …,<s>Ake—nipa/</s> ¦ <lex>mfn.</lex> (said of the horses of the <s1>Aśvin</s1>s) protecting …,False
Ap,pwg,"<ls n=""ŚAT. BR. 1,"">1,1,14. 15.</ls> {#Apta/kAma#}","<ls n=""ŚAT. BR. 1,"">1,1,14.</ls> <ls n=""ŚAT. BR. 1,1,1,"">15.</ls> {#Apta/kAma#}","<hom>1.</hom> <s>Ap</s> ¦ <ab>cl.</ab> 5. <ab>P.</ab> <s>Apno/ti</s> [<ls>AV. ix, 5, 22</l…","<hom>1.</hom> <s>Ap</s> ¦ <ab>cl.</ab> 5. <ab>P.</ab> <s>Apno/ti</s> [<ls>AV. ix, 5, 22</l…",False
BI,pwg,"<ls n=""AV."">5,21,2.</ls> <ls>VS. 1,23.</ls> <ls>ŚAT. BR. 1,8,1,16. 6,1,11. 7,3,28. 3,1,2,1…","<ls n=""AV."">5,21,2.</ls> <ls>VS. 1,23.</ls> <ls>ŚAT. BR. 1,8,1,16.</ls> <ls n=""ŚAT. BR. 1,…","<ab>aor.</ab> <s>aBEzIt</s>, <s>°zma</s>, <s>°zuH</s>, <ls>RV.</ls>; <ls>AV.</ls> &c., 2. …","<ab>aor.</ab> <s>aBEzIt</s>, <s>°zma</s>, <s>°zuH</s>, <ls>RV.</ls>; <ls>AV.</ls> &c., 2. …",False
Bavamanyu,pw,"¯NI7LAK.UP.4,","¯NI7LAR.UP.4,","<s>Bava—manyu</s> ¦ <lex>m.</lex> resentment against the world, <ls>NīlarUp.</ls> (<ab>cf.…","<s>Bava—manyu</s> ¦ <lex>m.</lex> resentment against the world, <ls>NīlarUp.</ls> (<ab>cf.…",False
Buvana,pwg,"<ls n=""ṚV. 10,"">120,1.</ls> <ls n=""ṚV. 10,"">125,7.</ls> <ls>AV. 2,2,1.</ls> <ls n=""AV."">12…","<ls n=""ṚV. 10,"">120,1.</ls> <ls n=""ṚV. 10,"">125,7.</ls> <ls>AV. 2,2,1.</ls> <ls n=""AV."">12…",(rarely m.) the world,"(rarely <lex type=""hwalt"">m.</lex>) the world",False
Cala,pwg,"<ls n=""SĀH. D."">525. 521.</ls> <ls>PRATĀPAR. 23,b,3.</ls> In Comp. mit dem, {%was die Täus…","<ls n=""SĀH. D."">525.</ls> <ls n=""SĀH. D."">521.</ls> <ls>PRATĀPAR. 23,b,3.</ls> In Comp. mi…",m. form,Should be a separate record for m. form,False
DA,pwg,"<ls>VS. 11. 39. 19,93.</ls> {#saM vajra^M parva\So da^DuH#}","<ls>VS. 11,39. 19,93.</ls> {#saM vajra^M parva\So da^DuH#}",<ab>Impv.</ab> <s>dADAtu</s> <ab>pl.</ab> <s>°Datu</s>;,"<ab>Impv.</ab> <s>da/DAtu</s>, <ab>pl.</ab> <s>°Datu</s>;",False
DAv,pwg,"<ls>RĀJA-TAR. 1,144. 3,205.</ls> {#praDAvitamahaM dEvaM pOruzeRa nivartaye#}","<ls>RĀJA-TAR. 1,144.</ls> <ls n=""RĀJA-TAR."">3,205.</ls> {#praDAvitamahaM dEvaM pOruzeRa ni…","<div n=""vp""/> run towards (<s>-aBimuKam</s>), <ls>Hit.</ls> run a race (<s>Ajim</s>), <ls>…","<div n=""vp""/> run towards (<s>aBimuKam</s>), <ls>Hit.</ls> run a race (<s>Ajim</s>), <ls>B…",False
DU,pwg,"<ls n=""AV. 19,46,"">5.</ls> <ls n=""AV. 19,"">19,7.</ls> <ls n=""AV."">19,36,4.</ls> <ls>ŚAT. B…","<ls n=""AV. 19,46,"">5.</ls> <ls n=""AV. 19,"">19,7.</ls> <ls n=""AV."">19,36,4.</ls> <ls>ŚAT. B…","<div n=""vp""/> <ab>cl.</ab> 2. <ab>Ā.</ab>, 3. <ab>pl.</ab> <s>Duvate</s> (<s>Dunva/te</s>?…","<div n=""vp""/> <ab>cl.</ab> 2. <ab>Ā.</ab>, 3. <ab>pl.</ab> <s>Duva/te</s> (<s>Dunva/te</s>…",False
Dur,pwg,"<ls>ŚAT. BR. 1,4,4,13. 1,2,10.</ls>","<ls>ŚAT. BR. 1,4,4,13.</ls> <ls n=""ŚAT. BR. 1,"">1,2,10.</ls>","a yoke (fig.) burden, load","a yoke ; (fig.) burden, load",False
Ekzava,pw,"<div n=""1"">— 1〉 <lex>Adj.</lex> (<lex>f.</lex> {#I/#}) {%aus Zuckerrohr gemacht, vom <ab n…","<div n=""1"">— 1〉 <lex>Adj.</lex> (<lex>f.</lex> {#I/#}) {%aus Zuckerrohr gemacht, vom <ab n…","<s>Ekzava/</s> and <s>Ekzavya^</s>, ¦ <lex>mf(<s>I</s>)n.</lex> (<ab>fr.</ab> <s>ikzu</s>)…","<s>Ekzava/</s> and <s>Ekzavya^</s>, ¦ <lex>mf(<s>I</s>)n.</lex> (<ab>fr.</ab> <s>ikzu</s>)…",False
KaYjana,pwg,"<ls>VARĀH. BṚH. S. 45,3. 6. 10. 15.</ls> <ls>Verz. d. Oxf. H. 86,b,39. 92,b,39.</ls>","<ls>VARĀH. BṚH. S. 45,3.</ls> <ls n=""VARĀH. BṚH. S. 45,"">6.</ls> <ls n=""VARĀH. BṚH. S. 45,…",Montacilla alba,<bio>Montacilla alba</bio>,False
Kewa,pw,¯BHA7G.P.),¯BHA7G.P. ),Missing homonymy codes,"Add homonymy codes of 1,2 respectively",False
KyA,pwg,"<ls>TS. 3,2,10,2. 5,1.</ls> — caus. {%ansehen lassen%}","<ls>TS. 3,2,10,2.</ls> <ls n=""TS. 3,2,"">5,1.</ls> — caus. {%ansehen lassen%}",<s>KyA</s> ¦ <ab>cl.</ab> 2. <ab>P.</ab> <s>KyAti</s> (in the non-conjugational tenses als…,<s>KyA</s> ¦ <ab>cl.</ab> 2. <ab>P.</ab> <s>KyAti</s> (in the non-conjugational tenses als…,False
Opala,pw,¯NR2S.UP.*RIB. ‹ind.)› ¯66.,¯NR2S.UP.(Bibl.ind.)66.,Opala,OpalA,False
Pala,pw,"<div n=""2"">— i〉 bei den Rhetorikern {%der Ausgang einer Handlung%} <ls>DAŚAR. 1,13</ls>. <…","<div n=""2"">— i〉 bei den Rhetorikern {%der Ausgang einer Handlung%} <ls>DAŚAR. 1,13</ls>. <…",Pala,PalA,False
SOrya,pwg,"<ls n=""Spr."">(II) 2632.</ls> <ls n=""Spr. (II)"">2760.</ls> <ls n=""Spr. (II)"">3502.</ls> <ls…","<ls n=""Spr."">(II) 2632.</ls> <ls n=""Spr. (II)"">2760.</ls> <ls n=""Spr. (II)"">3502.</ls> <ls…",Vārtt. 2.,"Underlined, but no tool tip",False
SUnya,pwg,"<ls>RĀJA-TAR. 3,430. 444.</ls> {#yattadbrahma paraM sUkzmamaSUnyaM SUnyakalpitam#}","<ls>RĀJA-TAR. 3,430.</ls> <ls n=""RĀJA-TAR. 3,"">444.</ls> {#yattadbrahma paraM sUkzmamaSUny…","¦ (in <ab>phil.</ab>) vacuity, nonentity, absolute non-existence (<ab>esp.</ab> with <ns>B…","¦ (in <ab>phil.</ab>) vacuity, nonentity, absolute nonexistence (<ab>esp.</ab> with <ns>Bu…",False
SUra,pwg,"<ls n=""RĀJA-TAR."">47. fgg. 7,803. 808. 8,1847. 1940. 2483.</ls> <ls>SCHIEFNER, Lebensb. 31…","<ls n=""RĀJA-TAR. 5,"">47. fgg. 7,803. 808. 8,1847. 1940. 2483.</ls> <ls>SCHIEFNER, Lebensb.…","towards, any one",towards any one (remove comma),False
SaNk,pwg,"<ls>RĀJA-TAR. 4,684. 5,147.</ls> {%Jmd in Verdacht haben, mit Misstrauen ansehen, Misstrau…","<ls>RĀJA-TAR. 4,684.</ls> <ls n=""RĀJA-TAR."">5,147.</ls> {%Jmd in Verdacht haben, mit Misst…",regard is,regard as,False
Sam,pwg,<ls>SĀH. D. 65. 69.</ls>,"<ls>SĀH. D. 65.</ls> <ls n=""SĀH. D."">69.</ls>",Sanati,Samati,False
SampAka,pw,¯ZACH.BEITR.86).,¯ZACH.Beitr.86).,"<s>Sam—pAka</s> ¦ <lex>m.</lex> <bot>Cathartocarpus Fistula</bot>, <ls>MBh.</ls>; <ls>Suśr…","<s>Sam—pAka</s> ¦ <lex>m.</lex> <bot>Cathartocarpus Fistula</bot>, <ls>MBh.</ls>; <ls>Suśr…",False
