claim_id,article,section,claim,evidence_tier,evidence_ids,status
A61-ARG-01,A61,abstract;1;3;9,CDSL endured by repeatedly converting fragile personal scholarship into maintainable shared infrastructure.,synthesis,HIST-1994-FOUNDING;HIST-2004-COLLAB;HIST-2013-DCH;HIST-2014-GITHUB;HIST-2026-SUCCESSION,argument-to-develop
A61-DATA-01,A61,abstract;3.4,The June snapshot has two legitimate repository populations: 78 API inventory records and 76 transformed activity-table records.,computed,ORG-REPOS-API;ORG-REPOS-TRANSFORMED,verified
A61-DATA-02,A61,abstract;5.3,"OBS-T contains 52,498 documented events across 43 dictionaries and 208 corrector labels.",computed,OBST-EVENTS;OBST-DICTIONARIES;OBST-CORRECTOR-IDS,verified-with-identity-caveat
A61-DATA-03,A61,abstract;3.5;5.3;8;11,Correction implementation is highly concentrated: at most five implementers per year and a 64–100% annual lead share.,computed,OBSQ-MAX-ANNUAL-CORRECTORS;OBSQ-LEAD-SHARE-RANGE,verified
A61-HIST-01,A61,3,1994 is the founding milestone; 2014 is the public-GitHub governance milestone; 2019 is only the first-PR milestone.,published-and-computed,HIST-1994-FOUNDING;HIST-2014-GITHUB;HIST-2019-FIRST-PRS,verified
A61-NUM-00-ORG,A61,00-front-matter,"The retained organisation and correction figures are 78 API repositories, 76 transformed-table repositories, 5,413 issue/PR rows, 52,498 events, 43 dictionaries, 208 release-safe corrector labels, at most five annual implementers, and a 64–100% annual lead share.",numeric-inventory,ORG-REPOS-API;ORG-REPOS-TRANSFORMED;ORG-ISSUE-PR-ROWS;OBST-EVENTS;OBST-DICTIONARIES;OBST-CORRECTOR-IDS;OBSQ-MAX-ANNUAL-CORRECTORS;OBSQ-LEAD-SHARE-RANGE,verified
A61-NUM-02-COLLECTION,A61,2,"The manuscript retains four founding dictionaries, 44 current works, eight correction/linking priorities, and two DDSA Sanskrit dictionaries.",numeric-inventory,CDSL-DICTIONARIES;HIST-1994-FOUNDING,44-verified;other-counts-published-or-descriptive
A61-LEGAL-01,A61,2.4,The former inference that Apte 1957 was public domain from editor and publisher death dates was removed; the manuscript now reports access history without a jurisdiction-specific legal conclusion.,legal-review,HIST-EMAIL-RIGHTS,removed-from-manuscript-v1.1
A61-NUM-03-HISTORY,A61,3,"The retained chronology includes 1985, 1994, 2004–2013, 2008, 2013, 2014, 2016, 2018 and 2026; the June 2026 repository evidence retains 78 API repositories, 76 transformed repositories and 5,413 issue/PR rows, and the succession evidence retains at most five annual implementers with a 64–100% lead share.",numeric-inventory,HIST-1985-CHICAGO;HIST-1994-FOUNDING;HIST-2004-COLLAB;HIST-2008-SLP1;HIST-2013-DCH;HIST-2014-GITHUB;HIST-2026-SUCCESSION;ORG-REPOS-API;ORG-REPOS-TRANSFORMED;ORG-ISSUE-PR-ROWS;OBSQ-MAX-ANNUAL-CORRECTORS;OBSQ-LEAD-SHARE-RANGE,verified-or-verified-attributed
A61-NUM-04-ARCH,A61,4,The empirical collection count retained in the architecture chapter is 44 works; aggregate tag totals from the earlier draft are explicitly not used.,numeric-inventory,CDSL-DICTIONARIES,verified
A61-NUM-05-CORRECTIONS,A61,5,"The retained correction figures are 52,498 documented events over twelve years (2014–2026), 43 dictionaries, 208 release-safe corrector labels, sixteen non-bot Git identities, no more than five annual implementers, a 64–100% annual lead share, 5,413 issue/PR rows and 76 transformed repositories.",numeric-inventory,OBST-EVENTS;OBST-DICTIONARIES;OBST-CORRECTOR-IDS;ORG-HUMAN-COMMIT-IDS;OBSQ-MAX-ANNUAL-CORRECTORS;OBSQ-LEAD-SHARE-RANGE;ORG-ISSUE-PR-ROWS;ORG-REPOS-TRANSFORMED,verified
A61-NUM-06-CITATIONS,A61,6,"The retained citation graph has 828,505 canonicalised citations resolving to 912 distinct texts; the comparison denominator is the 323,425-headword union.",numeric-inventory,CDSL-CITATIONS;CDSL-UNION-HW,verified
A61-M10-01,A61,7.1,"The fifteen-dictionary union has 323,425 normalized headwords and 105 pairs; BHS unique share is 58.7% and CCS unique share is 0.6%.",computed-locked-local,CDSL-UNION-HW;M10-PAIRWISE-PAIRS;M10-BHS-UNIQUE-PCT;M10-CCS-UNIQUE-PCT,verified
A61-M10-02,A61,7.2,"The retained MW–PWG comparison establishes 94,753 common normalized lemmas.",computed-locked-local,M10-MW-PWG-SHARED,verified
A61-M10-03,A61,7.2,The former entry-length and citation-overlap exact blocks were removed because no locked source and method were located.,secondary-exact-figure,M10-ENTRY-LENGTH-BLOCK;M10-CITATION-OVERLAP-BLOCK,removed-from-manuscript-v1.1
A61-M10-04,A61,7.3,The former stale etymology and root exact totals were removed; the manuscript retains only qualitative claims supported by the current oracle.,computed-locked-local,M10-ETYMO-DICTS;M10-ETYMO-ROWS-CURRENT;M10-ETYMO-AGREEMENT;M10-MW-ROOTS,removed-or-superseded-in-manuscript-v1.1
A61-M10-05,A61,7.4,The former exact Heritage and Whitney alignment totals were removed because their populations were stale or insufficiently framed.,computed-locked-local,M10-HERITAGE-CROSSWALK;M10-WHITNEY-HUB-CURRENT,removed-from-manuscript-v1.1
A61-NUM-08-PEOPLE,A61,8,"The retained measured populations are 208 OBS-T labels, sixteen normalized non-bot Git identities, at most five annual correction implementers and a 64–100% annual lead share; the approximately thirty Andhrabharati dictionaries and 70% Telugu estimate remain attributed testimony.",numeric-inventory,OBST-CORRECTOR-IDS;ORG-HUMAN-COMMIT-IDS;OBSQ-MAX-ANNUAL-CORRECTORS;OBSQ-LEAD-SHARE-RANGE;HIST-2026-SUCCESSION,measured-values-verified;testimony-attributed
A61-NUM-10-PLANS,A61,10,"The retained descriptive plan counts are five Sanskrit–Russian dictionaries, two Dhātupāṭhas, three headword-programme items and one proposed reverse dictionary; former traffic and archive-file exact totals were removed.",numeric-inventory,HIST-EMAIL-TECH,descriptive-project-counts;removed-figures-not-retained
A13-METHOD-01,A13,proposed,"Repository records reveal public workflow but systematically under-record pre-2014 correspondence, informal labour, and identity.",methodological,HIST-EMAIL-TECH;HIST-EMAIL-RIGHTS;OBST-CORRECTOR-IDS;ORG-HUMAN-COMMIT-IDS,argument-to-develop
