corrector,name,component,count
funderburkjim,Jim Funderburk,sense,13386
funderburkjim,Jim Funderburk,unattributed,9716
funderburkjim,Jim Funderburk,markup,4594
funderburkjim,Jim Funderburk,headword,3561
funderburkjim,Jim Funderburk,citation,3141
funderburkjim,Jim Funderburk,meta,475
funderburkjim,Jim Funderburk,grammar,184
drdhaval2785,Dhaval Patel,sense,3898
drdhaval2785,Dhaval Patel,headword,1406
drdhaval2785,Dhaval Patel,markup,1301
drdhaval2785,Dhaval Patel,unattributed,1277
drdhaval2785,Dhaval Patel,citation,171
drdhaval2785,Dhaval Patel,meta,128
drdhaval2785,Dhaval Patel,grammar,67
dhaval_ejf,dhaval_ejf,unattributed,6190
dhaval_ejf,dhaval_ejf,headword,12
dhaval_ejf,dhaval_ejf,citation,3
dhaval_ejf,dhaval_ejf,sense,1
ss,ss,headword,256
ss,ss,unattributed,195
gasyoun,Mārcis Gasūns,unattributed,174
gasyoun,Mārcis Gasūns,headword,159
gasyoun,Mārcis Gasūns,sense,99
gasyoun,Mārcis Gasūns,citation,5
gasyoun,Mārcis Gasūns,markup,4
gasyoun,Mārcis Gasūns,grammar,3
gasyoun,Mārcis Gasūns,meta,1
dhavel_ejf,dhavel_ejf,unattributed,330
dhavel_ejf,dhavel_ejf,headword,4
dhavel_ejf,dhavel_ejf,citation,3
dhavel_ejf,dhavel_ejf,sense,1
unknown,unknown,unattributed,123
unknown,unknown,sense,62
unknown,unknown,headword,40
sampada/ejf,sampada/ejf,unattributed,83
sampada/ejf,sampada/ejf,headword,76
sampada/ejf,sampada/ejf,sense,2
ejf_etal,ejf_etal,headword,74
ejf_etal,ejf_etal,unattributed,73
ejf_etal,ejf_etal,sense,12
form_corrector_b517a7c785,Form corrector b517a7c785,unattributed,39
form_corrector_b517a7c785,Form corrector b517a7c785,sense,37
form_corrector_b517a7c785,Form corrector b517a7c785,headword,12
form_corrector_b517a7c785,Form corrector b517a7c785,grammar,5
form_corrector_b517a7c785,Form corrector b517a7c785,meta,4
form_corrector_b517a7c785,Form corrector b517a7c785,citation,2
form_corrector_2ade35a3a8,Form corrector 2ade35a3a8,unattributed,67
form_corrector_2ade35a3a8,Form corrector 2ade35a3a8,sense,12
form_corrector_2ade35a3a8,Form corrector 2ade35a3a8,headword,11
form_corrector_2ade35a3a8,Form corrector 2ade35a3a8,meta,1
Caujolle,Caujolle,sense,36
Caujolle,Caujolle,unattributed,30
Caujolle,Caujolle,headword,12
Caujolle,Caujolle,meta,1
