dict,level,n1_form,n2_git,m_overlap,false_matches,audited
acc,exact,147,283,0,0,1
acc,clean,147,283,0,0,1
acc,repair,147,283,0,0,1
acc,form_key,147,283,0,0,1
acc,norm,147,283,0,0,1
acc,ed1,147,283,0,0,1
acc,form_key+alias,178,283,0,,1
ae,exact,16,196,1,0,1
ae,clean,16,196,1,0,1
ae,repair,16,196,2,0,1
ae,form_key,16,196,2,0,1
ae,norm,16,196,3,0,1
ae,ed1,16,196,4,1,1
ae,form_key+alias,17,196,2,,1
ap,exact,437,1109,1,0,1
ap,clean,433,1109,3,0,1
ap,repair,433,1109,3,0,1
ap,form_key,432,1105,4,0,1
ap,norm,421,1101,6,0,1
ap,ed1,433,1109,35,18,1
ap,form_key+alias,476,1105,4,,1
ap90,exact,269,1468,3,0,1
ap90,clean,266,1468,3,0,1
ap90,repair,266,1468,3,0,1
ap90,form_key,266,1468,4,0,1
ap90,norm,265,1451,6,1,1
ap90,ed1,266,1468,42,37,1
ap90,form_key+alias,306,1468,6,,1
ben,exact,463,600,4,0,1
ben,clean,463,600,4,0,1
ben,repair,463,600,4,0,1
ben,form_key,463,600,4,0,1
ben,norm,460,593,11,1,1
ben,ed1,463,600,32,17,1
ben,form_key+alias,561,600,6,,1
bhs,exact,19,275,0,0,1
bhs,clean,19,275,0,0,1
bhs,repair,19,275,0,0,1
bhs,form_key,19,275,0,0,1
bhs,norm,19,275,0,0,1
bhs,ed1,19,275,1,0,1
bhs,form_key+alias,27,275,0,,1
bop,exact,30,237,0,0,1
bop,clean,30,237,0,0,1
bop,repair,30,237,0,0,1
bop,form_key,30,237,0,0,1
bop,norm,30,233,0,0,1
bop,ed1,30,237,1,0,1
bop,form_key+alias,38,237,0,,1
bor,exact,7,243,0,0,1
bor,clean,7,243,0,0,1
bor,repair,7,243,0,0,1
bor,form_key,7,243,0,0,1
bor,norm,7,243,0,0,1
bor,ed1,7,243,0,0,1
bor,form_key+alias,9,243,0,,1
bur,exact,684,883,23,0,1
bur,clean,680,883,25,0,1
bur,repair,683,883,32,0,1
bur,form_key,682,883,33,0,1
bur,norm,673,867,54,5,1
bur,ed1,680,883,134,128,1
bur,form_key+alias,877,883,44,,1
cae,exact,1271,340,1,0,1
cae,clean,1270,340,1,0,1
cae,repair,1270,340,2,0,1
cae,form_key,1268,339,9,0,1
cae,norm,1256,336,12,0,1
cae,ed1,1270,340,34,9,1
cae,form_key+alias,1824,339,13,,1
ccs,exact,2202,44,0,0,1
ccs,clean,2200,44,0,0,1
ccs,repair,2199,44,0,0,1
ccs,form_key,2199,44,0,0,1
ccs,norm,2193,44,2,0,1
ccs,ed1,2200,44,4,1,1
ccs,form_key+alias,3411,44,2,,1
gra,exact,312,235,3,0,1
gra,clean,309,235,5,0,1
gra,repair,309,235,5,0,1
gra,form_key,309,235,6,1,1
gra,norm,300,234,10,3,1
gra,ed1,309,235,56,53,1
gra,form_key+alias,351,235,6,,1
ieg,exact,43,157,0,0,1
ieg,clean,43,157,0,0,1
ieg,repair,43,157,0,0,1
ieg,form_key,43,157,0,0,1
ieg,norm,43,156,0,0,1
ieg,ed1,43,157,0,0,1
ieg,form_key+alias,50,157,0,,1
inm,exact,67,43,0,0,1
