scan_dir	tracker_spelling	spelling_matches	repo_exists	repo_url	pages_url	default_branch	size_kb	pushed_at	resolver_wired	resolver_evidence	note
abch2	abch2	yes	true	https://github.com/sanskrit-lexicon-scans/abch2	https://sanskrit-lexicon-scans.github.io/abch2/	main	249102	2025-03-08	yes	lines 434, 443, 446, 449 (app1=H., app2=H. s. / s.)	Exact match. Described as Abhidhanacintamani + Abhidhanacintamanipariśiṣṭa, Bohtlingk 1847 edition. Sibling abch (v1) exists but is not tracked.
aitbr	aitbr	yes	true	https://github.com/sanskrit-lexicon-scans/aitbr	https://sanskrit-lexicon-scans.github.io/aitbr/	main	354486	2025-08-16	yes	line 310 (2-param AIT. BR. only; the 3-param form goes to aitbr_auf, lines 308, 922, 925)	Exact match. Described as AITAREYABRAHMANA. Untracked sibling aitbr_auf exists.
amara_col	amara_col	yes	true	https://github.com/sanskrit-lexicon-scans/amara_col	https://sanskrit-lexicon-scans.github.io/amara_col/	main	705861	2025-07-14	mis-keyed	lines 346, 348, 350, 352 (reached by COL./COLEBR./'AK. ed. COLEBR.', NOT by bare AK.)	Wired, but unreachable from the code 'AK.', which always lands on amara_dlc. amara_col needs COL., COLEBR., or 'AK. ed. COLEBR.'.
amara_dlc	amara_dlc	yes	true	https://github.com/sanskrit-lexicon-scans/amara_dlc	https://sanskrit-lexicon-scans.github.io/amara_dlc/	main	184444	2025-07-14	yes	lines 341, 343	Exact match. Described as the Deslongchamps 1839 edition of the Amarakosha; paired with amara_col.
anekarthasamgraha	anekarthasamgraha	yes	true	https://github.com/sanskrit-lexicon-scans/anekarthasamgraha	https://sanskrit-lexicon-scans.github.io/anekarthasamgraha/	main	226104	2025-07-24	yes	lines 295, 298, 848, 855	Exact match, public, Pages enabled.
armh2	armh2	yes	true	https://github.com/sanskrit-lexicon-scans/armh2	https://sanskrit-lexicon-scans.github.io/armh2/	main	190070	2025-03-10	yes	line 452	Exact match. Described as Abhidhanaratnamala of Halayudha, link target for PWG/PW. Sibling armh (v1) exists but is not tracked.
bchrest1	bchrest1	yes	true	https://github.com/sanskrit-lexicon-scans/bchrest1	https://sanskrit-lexicon-scans.github.io/bchrest1/	main	21479	2025-07-09	yes	lines 399, 402, 405, 411 (app1=N., app2=DAS., app3=VID., app4=VISV.)	Exact match. Sibling bchrest2 exists in the org but is not in the tracker list.
bhagavadgita	bhagavadgita	yes	true	https://github.com/sanskrit-lexicon-scans/bhagavadgita	https://sanskrit-lexicon-scans.github.io/bhagavadgita/	main	138993	2025-07-09	yes	lines 292, 798, 908	Exact match. Distinct from gitagov (also tracked) and from bhagp_bom/bhagp_bur (untracked).
bhartrhari	bhartrhari	yes	true	https://github.com/sanskrit-lexicon-scans/bhartrhari	https://sanskrit-lexicon-scans.github.io/bhartrhari/	main	245239	2025-08-04	yes	lines 408, 414, 417 (app1=CAURAP., app2=BHARTR., app3=BHARTR. Suppl.)	Exact match, public, Pages enabled.
bhattikavya	bhattikavya	yes	true	https://github.com/sanskrit-lexicon-scans/bhattikavya	https://sanskrit-lexicon-scans.github.io/bhattikavya/	main	196273	2025-07-09	yes	line 369	Exact match, public, Pages enabled.
boesp1	boesp1	yes	true	https://github.com/sanskrit-lexicon-scans/boesp1	https://sanskrit-lexicon-scans.github.io/boesp1/	main	339162	2025-07-09	yes	lines 225, 237, 243 (Spr. / Spr. (I))	Exact name match, public, Pages live (200). No description.
brihatsam	brihatsam	yes	true	https://github.com/sanskrit-lexicon-scans/brihatsam	https://sanskrit-lexicon-scans.github.io/brihatsam/	main	270362	2025-08-31	yes	line 458	Exact match, public, Pages enabled.
gitagov	gitagov	yes	true	https://github.com/sanskrit-lexicon-scans/gitagov	https://sanskrit-lexicon-scans.github.io/gitagov/	main	185886	2025-07-10	yes	line 355	Exact match. A second Bhagavadgita edition alongside the bhagavadgita repo.
hitopadesha	hitopadesha	yes	true	https://github.com/sanskrit-lexicon-scans/hitopadesha	https://sanskrit-lexicon-scans.github.io/hitopadesha/	main	128070	2025-07-10	yes	lines 332, 334, 336, 338	Exact match, public, Pages enabled.
katyasr	katyasr	yes	true	https://github.com/sanskrit-lexicon-scans/katyasr	https://sanskrit-lexicon-scans.github.io/katyasr/	main	611037	2025-09-09	yes	lines 384, 386	Exact match. Large (~0.6 GB).
kumaras	kumaras	yes	true	https://github.com/sanskrit-lexicon-scans/kumaras	https://sanskrit-lexicon-scans.github.io/kumaras/	main	121964	2025-07-10	yes	lines 372, 777	Exact match, public, Pages enabled.
malavikagni	malavikagni	yes	true	https://github.com/sanskrit-lexicon-scans/malavikagni	https://sanskrit-lexicon-scans.github.io/malavikagni/	main	83292	2025-07-10	yes	lines 313, 315, 784	Exact match, public, Pages enabled.
markandeyapurana	markandeyapurana	yes	true	https://github.com/sanskrit-lexicon-scans/markandeyapurana	https://sanskrit-lexicon-scans.github.io/markandeyapurana/	main	34412	2025-07-11	yes	lines 289, 901	Exact match. One of the smaller repos (~34 MB).
mbhbomb	mbhbomb	yes	true	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	main	1694391	2025-07-16	yes	lines 247, 249	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.
medini	medini	yes	true	https://github.com/sanskrit-lexicon-scans/medini	https://sanskrit-lexicon-scans.github.io/medini/	main	281809	2025-03-09	yes	lines 426, 428, 437, 440, 862 (app1=MED., app2=TRIK., app3=HAR.)	Exact match. Described as Medinikośa, Trikandaśeṣa and Haravali; also carries Amarakośa for possible future use.
meghasrnga	meghasrnga	yes	true	https://github.com/sanskrit-lexicon-scans/meghasrnga	https://sanskrit-lexicon-scans.github.io/meghasrnga/	main	62117	2025-09-18	yes	lines 420, 423 (app1=MEGH., app2=SRNGARAT.)	Exact match. Among the smallest (~62 MB).
mugdhabodha	mugdhabodha	yes	true	https://github.com/sanskrit-lexicon-scans/mugdhabodha	https://sanskrit-lexicon-scans.github.io/mugdhabodha/	main	230318	2025-03-04	yes	line 366	Exact match. Oldest push of the 37 (Mar 2025).
nirukta	nirukta	yes	true	https://github.com/sanskrit-lexicon-scans/nirukta	https://sanskrit-lexicon-scans.github.io/nirukta/	main	326558	2025-09-08	yes	lines 358, 360, 363, 812 (app1=NIR. numeric, app0=NIR. roman, app2=NAIGH.)	Exact match. Description 'nirukta link target' — confirms these repos exist to serve dictionary link targets.
pancar	pancar	yes	true	https://github.com/sanskrit-lexicon-scans/pancar	https://sanskrit-lexicon-scans.github.io/pancar/	main	187926	2025-07-19	partial	lines 389, 391	2-parameter citations return None; only the 3-param and 'S. <page>' forms resolve.
pantankose	pantankose	yes	true	https://github.com/sanskrit-lexicon-scans/pantankose	https://sanskrit-lexicon-scans.github.io/pantankose/	main	199708	2025-07-11	yes	lines 318, 320, 322, 324, 713, 718	Exact match. Untracked sibling pantankoseorn also exists.
raghuvamsa	raghuvamsa	yes	true	https://github.com/sanskrit-lexicon-scans/raghuvamsa	https://sanskrit-lexicon-scans.github.io/raghuvamsa/	main	93981	2025-03-23	yes	lines 280, 286, 893 (RAGH. generic + RAGH. ed. ST.)	Exact match. Distinct from sibling repo raghuvamsacalc, which is also in the tracker.
